motive_family,motive_label,emotion_display,fractional_retweet_count,unique_retweets,reason_total_fractional,reason_emotion_retweet_share,display_label
19,Protection of the family,anger,106.0,201,261.66666666666663,0.40509554140127396,Family protection
19,Protection of the family,sadness,92.41666666666666,211,261.66666666666663,0.3531847133757962,Family protection
19,Protection of the family,fear,38.25,95,261.66666666666663,0.1461783439490446,Family protection
19,Protection of the family,disgust,14.0,15,261.66666666666663,0.053503184713375805,Family protection
19,Protection of the family,Other,11.0,11,261.66666666666663,0.04203821656050956,Family protection
7,Self-blame,sadness,128.65,289,251.81666666666666,0.5108875504666094,Self-blame
7,Self-blame,fear,62.833333333333336,67,251.81666666666666,0.24952015355086374,Self-blame
7,Self-blame,anger,36.0,72,251.81666666666666,0.14296114898404924,Self-blame
7,Self-blame,disgust,22.5,23,251.81666666666666,0.08935071811503077,Self-blame
7,Self-blame,Other,1.8333333333333333,3,251.81666666666666,0.007280428883446952,Self-blame
22,Dependent on the perpetrator,sadness,233.58333333333334,275,241.08333333333334,0.9688904251641894,Dependence on perpetrator
22,Dependent on the perpetrator,fear,6.5,13,241.08333333333334,0.026961631524369166,Dependence on perpetrator
22,Dependent on the perpetrator,disgust,1.0,2,241.08333333333334,0.00414794331144141,Dependence on perpetrator
3,Others minimized victims experience,sadness,132.75,219,180.08333333333334,0.7371587228135122,Others minimized the experience
3,Others minimized victims experience,fear,26.0,64,180.08333333333334,0.14437760296159186,Others minimized the experience
3,Others minimized victims experience,disgust,10.833333333333334,22,180.08333333333334,0.06015733456732994,Others minimized the experience
3,Others minimized victims experience,Other,6.0,6,180.08333333333334,0.033317908375751965,Others minimized the experience
3,Others minimized victims experience,anger,4.5,7,180.08333333333334,0.024988431281813973,Others minimized the experience
4,"""I tought that was normal"" (dismisal/minimizing)",sadness,168.0,177,178.16666666666666,0.9429373246024322,Experience treated as normal
4,"""I tought that was normal"" (dismisal/minimizing)",disgust,8.666666666666666,26,178.16666666666666,0.04864359214218896,Experience treated as normal
4,"""I tought that was normal"" (dismisal/minimizing)",Other,1.0,1,178.16666666666666,0.005612722170252573,Experience treated as normal
4,"""I tought that was normal"" (dismisal/minimizing)",fear,0.5,1,178.16666666666666,0.0028063610851262865,Experience treated as normal
18,Perpetrator was a family member,sadness,74.83333333333333,166,142.5,0.5251461988304094,Perpetrator was family
18,Perpetrator was a family member,anger,47.5,142,142.5,0.3333333333333333,Perpetrator was family
18,Perpetrator was a family member,fear,19.5,22,142.5,0.1368421052631579,Perpetrator was family
18,Perpetrator was a family member,Other,0.6666666666666666,2,142.5,0.004678362573099415,Perpetrator was family
12,Lack of support from others,sadness,52.983333333333334,171,115.48333333333332,0.4587963631115602,Lack of support
12,Lack of support from others,fear,49.83333333333333,133,115.48333333333332,0.43151969981238275,Lack of support
12,Lack of support from others,disgust,10.666666666666666,28,115.48333333333332,0.09236542069562707,Lack of support
12,Lack of support from others,anger,1.5,3,115.48333333333332,0.012988887285322558,Lack of support
12,Lack of support from others,Other,0.5,1,115.48333333333332,0.00432962909510752,Lack of support
14,"Perpetrator was respected, powerfull, influential",sadness,36.5,68,84.91666666666667,0.4298331697742885,Perpetrator status or power
14,"Perpetrator was respected, powerfull, influential",disgust,22.166666666666668,53,84.91666666666667,0.26104023552502453,Perpetrator status or power
14,"Perpetrator was respected, powerfull, influential",fear,21.416666666666668,34,84.91666666666667,0.2522080471050049,Perpetrator status or power
14,"Perpetrator was respected, powerfull, influential",anger,4.833333333333333,12,84.91666666666667,0.05691854759568203,Perpetrator status or power
16,"""No one would believe""",sadness,47.083333333333336,89,59.833333333333336,0.786908077994429,No one would believe
16,"""No one would believe""",fear,5.583333333333333,13,59.833333333333336,0.09331476323119776,No one would believe
16,"""No one would believe""",disgust,3.833333333333333,11,59.833333333333336,0.06406685236768801,No one would believe
16,"""No one would believe""",Other,1.8333333333333333,4,59.833333333333336,0.03064066852367688,No one would believe
16,"""No one would believe""",anger,1.5,2,59.833333333333336,0.025069637883008356,No one would believe
20,"Belief that perpetartor will change (""it won't happen again"")",sadness,22.900000000000002,113,23.900000000000002,0.9581589958158996,Belief perpetrator would change
20,"Belief that perpetartor will change (""it won't happen again"")",anger,1.0,1,23.900000000000002,0.04184100418410042,Belief perpetrator would change
23,I can deal with it,fear,21.666666666666664,63,23.666666666666664,0.9154929577464789,I can deal with it
23,I can deal with it,anger,2.0,2,23.666666666666664,0.08450704225352114,I can deal with it
8,"Kept from reporting by others (""advised me not to report"")",anger,15.0,30,20.333333333333332,0.7377049180327869,Discouraged by others
8,"Kept from reporting by others (""advised me not to report"")",sadness,5.333333333333333,10,20.333333333333332,0.26229508196721313,Discouraged by others
24,Blaming the victim,fear,9.0,25,12.416666666666666,0.7248322147651007,Blaming the victim
24,Blaming the victim,anger,1.5,3,12.416666666666666,0.12080536912751678,Blaming the victim
24,Blaming the victim,Other,1.0,1,12.416666666666666,0.08053691275167786,Blaming the victim
24,Blaming the victim,sadness,0.9166666666666666,3,12.416666666666666,0.0738255033557047,Blaming the victim
1,Demotivated by previous cases of reporting,sadness,2.0,2,3.0,0.6666666666666666,Demotivated by previous cases of reporting
1,Demotivated by previous cases of reporting,fear,1.0,1,3.0,0.3333333333333333,Demotivated by previous cases of reporting
25,OTHER,sadness,1.0,1,1.0,1.0,OTHER
