phase_id,start_bin_idx,end_bin_idx_exclusive,start_utc,end_utc,duration_hours,n_events,mean_retweets_per_hour
1,0,5,2021-12-25 15:00:00+0000,2021-12-26 06:00:00+0000,15,487,32.46666666666667
2,5,11,2021-12-26 06:00:00+0000,2021-12-27 00:00:00+0000,18,11366,631.4444444444445
3,11,19,2021-12-27 00:00:00+0000,2021-12-28 00:00:00+0000,24,5502,229.25
4,19,27,2021-12-28 00:00:00+0000,2021-12-29 00:00:00+0000,24,1242,51.75
5,27,43,2021-12-29 00:00:00+0000,2021-12-31 00:00:00+0000,48,716,14.916666666666666
6,43,104,2021-12-31 00:00:00+0000,2022-01-07 15:00:00+0000,183,454,2.480874316939891
7,104,114,2022-01-07 15:00:00+0000,2022-01-08 21:00:00+0000,30,308,10.266666666666667
8,114,149,2022-01-08 21:00:00+0000,2022-01-13 06:00:00+0000,105,302,2.876190476190476
