phase_id,start_bin_idx,end_bin_idx_exclusive,start_utc,end_utc,duration_hours,n_events,mean_retweets_per_hour
1,0,16,2021-12-25 15:00:00+0000,2021-12-26 07:00:00+0000,16,529,33.0625
2,16,33,2021-12-26 07:00:00+0000,2021-12-27 00:00:00+0000,17,11324,666.1176470588235
3,33,57,2021-12-27 00:00:00+0000,2021-12-28 00:00:00+0000,24,5502,229.25
4,57,81,2021-12-28 00:00:00+0000,2021-12-29 00:00:00+0000,24,1242,51.75
5,81,128,2021-12-29 00:00:00+0000,2021-12-30 23:00:00+0000,47,711,15.127659574468085
6,128,312,2021-12-30 23:00:00+0000,2022-01-07 15:00:00+0000,184,459,2.494565217391304
7,312,342,2022-01-07 15:00:00+0000,2022-01-08 21:00:00+0000,30,308,10.266666666666667
8,342,449,2022-01-08 21:00:00+0000,2022-01-13 08:00:00+0000,107,306,2.8598130841121496
