phase_id,phase_label,start_utc,end_utc,duration_hours,n_events,n_nodes,n_edges,density,reciprocity,average_clustering,largest_weak_component_size,largest_weak_component_share,top10pct_in_degree_share,top10pct_out_degree_share,top10pct_in_strength_share,top10pct_out_strength_share
1,phase_1,2021-12-25 15:00:00+00:00,2021-12-26 06:00:00+00:00,15,487,274,473,0.006323360337958878,0.021141649048625793,0.08791178056834298,251,0.916058394160584,0.8393234672304439,0.5052854122621564,0.8418891170431212,0.5133470225872689
2,phase_2,2021-12-26 06:00:00+00:00,2021-12-28 00:00:00+00:00,42,16850,6084,16057,0.00043386776590281946,0.003736688048826057,0.03486530574007625,5950,0.9779750164365549,0.9615121130970916,0.5438126673724856,0.9629080118694362,0.5579821958456973
3,phase_3,2021-12-28 00:00:00+00:00,2021-12-30 18:00:00+00:00,66,1915,1625,1853,0.0007021599090564608,0.0010793308148947653,0.006622026253090778,1396,0.8590769230769231,0.9098758769562871,0.32218024824608743,0.9127937336814621,0.33054830287206266
4,phase_4,2021-12-30 18:00:00+00:00,2022-01-07 15:00:00+00:00,189,488,503,471,0.0018653022106405392,0.0,0.0020185511126656706,329,0.6540755467196819,0.9087048832271762,0.22717622080679406,0.9118852459016393,0.2540983606557377
5,phase_5,2022-01-07 15:00:00+00:00,2022-01-08 21:00:00+00:00,30,308,305,308,0.0033218291630716136,0.0,0.003571689866771834,266,0.8721311475409836,1.0,0.2012987012987013,1.0,0.2012987012987013
6,phase_6,2022-01-08 21:00:00+00:00,2022-01-13 06:00:00+00:00,105,300,296,282,0.0032295006871278058,0.0,0.0,171,0.5777027027027027,0.9858156028368794,0.15602836879432624,0.9866666666666667,0.20666666666666667
