phase_id,metric,group,n,median,mean,median_percentile
2,in_strength,institutional,61,1.0,6.262295081967213,81.52834839769926
2,in_strength,regular,6024,0.0,2.7367197875166003,0.0
2,in_strength,phase1_authors,73,14.0,38.50684931506849,96.86113393590797
2,out_strength,institutional,61,1.0,1.8524590163934427,10.468364831553
2,out_strength,regular,6024,1.0,2.781374501992032,10.468364831553
2,out_strength,phase1_authors,73,1.0,6.821917808219178,10.468364831553
2,in_degree,institutional,61,1.0,5.901639344262295,81.52834839769926
2,in_degree,regular,6024,0.0,2.607237715803453,0.0
2,in_degree,phase1_authors,73,14.0,36.136986301369866,96.92686935086277
2,pagerank,institutional,61,7.370335385209764e-05,0.0005784115460334172,84.33853738701725
2,pagerank,regular,6024,7.112800995832875e-05,0.00016014556701393764,0.0
2,pagerank,phase1_authors,73,0.000287894035821728,0.001086477947662285,95.34921939194741
3,in_strength,institutional,37,1.0,2.027027027027027,79.6923076923077
3,in_strength,regular,1588,0.0,1.1605793450881612,0.0
3,in_strength,phase1_authors,33,1.0,1.7575757575757576,79.6923076923077
3,out_strength,institutional,37,0.0,0.4594594594594595,0.0
3,out_strength,regular,1588,1.0,1.1971032745591939,17.415384615384617
3,out_strength,phase1_authors,33,0.0,1.0909090909090908,0.0
3,in_degree,institutional,37,1.0,2.0,79.6923076923077
3,in_degree,regular,1588,0.0,1.121536523929471,0.0
3,in_degree,phase1_authors,33,1.0,1.7575757575757576,79.6923076923077
3,pagerank,institutional,37,0.0006124418525897688,0.0008581124534828622,86.4
3,pagerank,regular,1588,0.00033104877511176933,0.0006097291178974396,0.0
3,pagerank,phase1_authors,33,0.000471745313850769,0.0005843368084354231,84.12307692307692
4,in_strength,institutional,18,1.0,2.4444444444444446,80.95238095238095
4,in_strength,regular,486,0.0,0.9259259259259259,0.0
4,in_strength,phase1_authors,7,0.0,2.0,0.0
4,out_strength,institutional,18,0.0,0.2222222222222222,0.0
4,out_strength,regular,486,1.0,1.008230452674897,17.261904761904763
4,out_strength,phase1_authors,7,1.0,1.4285714285714286,17.261904761904763
4,in_degree,institutional,18,1.0,2.388888888888889,80.95238095238095
4,in_degree,regular,486,0.0,0.8868312757201646,0.0
4,in_degree,phase1_authors,7,0.0,1.5714285714285714,0.0
4,pagerank,institutional,18,0.0011740172704921708,0.002190299036970151,86.30952380952381
4,pagerank,regular,486,0.0008924695596269795,0.001976490982169828,0.0
4,pagerank,phase1_authors,7,0.0008924695596269795,0.001792986139313044,0.0
5,in_strength,institutional,2,0.0,0.0,0.0
5,in_strength,regular,303,0.0,1.0165016501650166,0.0
5,in_strength,phase1_authors,6,0.0,0.6666666666666666,0.0
5,out_strength,institutional,2,1.0,1.0,9.180327868852459
5,out_strength,regular,303,1.0,1.00990099009901,9.180327868852459
5,out_strength,phase1_authors,6,1.0,0.6666666666666666,9.180327868852459
5,in_degree,institutional,2,0.0,0.0,0.0
5,in_degree,regular,303,0.0,1.0165016501650166,0.0
5,in_degree,phase1_authors,6,0.0,0.6666666666666666,0.0
5,pagerank,institutional,2,0.0018226163142883896,0.0018226163142883896,0.0
5,pagerank,regular,303,0.0018226163142883896,0.003288299562281928,0.0
5,pagerank,phase1_authors,6,0.0018226163142883896,0.0026488669538496483,0.0
6,in_strength,institutional,3,3.0,4.333333333333333,94.27609427609428
6,in_strength,regular,294,0.0,0.9829931972789115,0.0
6,in_strength,phase1_authors,10,0.0,0.2,0.0
6,out_strength,institutional,3,1.0,1.0,9.090909090909092
6,out_strength,regular,294,1.0,1.0170068027210883,9.090909090909092
6,out_strength,phase1_authors,10,1.0,0.8,9.090909090909092
6,in_degree,institutional,3,3.0,4.333333333333333,94.27609427609428
6,in_degree,regular,294,0.0,0.9217687074829932,0.0
6,in_degree,phase1_authors,10,0.0,0.2,0.0
6,pagerank,institutional,3,0.005258287096480787,0.027918315344421307,93.93939393939394
6,pagerank,regular,294,0.0014812061621205584,0.0031164797753970575,0.0
6,pagerank,phase1_authors,10,0.0014812061621205584,0.00167006020883857,0.0
