phase_id,phase_label,start_utc,end_utc,duration_hours,n_events,n_nodes,n_edges,density,reciprocity,average_clustering,largest_weak_component_size,largest_weak_component_share,top10pct_in_degree_share,top10pct_out_degree_share,top10pct_in_strength_share,top10pct_out_strength_share
1,phase_1,2021-12-25 15:00:00+00:00,2021-12-26 06:00:00+00:00,15,487,274,473,0.006323360337958878,0.021141649048625793,0.08791178056834298,251,0.916058394160584,0.8393234672304439,0.5052854122621564,0.8418891170431212,0.5133470225872689
2,phase_2,2021-12-26 06:00:00+00:00,2021-12-28 00:00:00+00:00,42,16868,6085,16066,0.0004339682678599308,0.0037345947964645835,0.034859576026725375,5950,0.9778142974527527,0.9611602141167683,0.5436325158720279,0.9625326061180934,0.557623903248755
3,phase_3,2021-12-28 00:00:00+00:00,2021-12-30 18:00:00+00:00,66,1918,1625,1855,0.0007029177718832891,0.001078167115902965,0.006622026253090778,1396,0.8590769230769231,0.9099730458221025,0.32183288409703503,0.9129301355578728,0.3300312825860271
4,phase_4,2021-12-30 18:00:00+00:00,2022-01-07 15:00:00+00:00,189,494,504,474,0.001869733977089842,0.0,0.0020145460509341908,329,0.6527777777777778,0.9050632911392406,0.22784810126582278,0.9089068825910931,0.2591093117408907
5,phase_5,2022-01-07 15:00:00+00:00,2022-01-08 21:00:00+00:00,30,308,305,308,0.0033218291630716136,0.0,0.003571689866771834,266,0.8721311475409836,1.0,0.2012987012987013,1.0,0.2012987012987013
6,phase_6,2022-01-08 21:00:00+00:00,2022-01-13 06:00:00+00:00,105,302,297,284,0.0032305032305032307,0.0,0.0,171,0.5757575757575758,0.9823943661971831,0.15492957746478872,0.9834437086092715,0.2052980132450331
