phase_id,post_type,emotion,n,phase_post_type_total,share
6,post,neutral,18,65,0.27692307692307694
6,post,sadness,7,65,0.1076923076923077
6,post,trust,4,65,0.06153846153846154
6,retweet,anger,37,302,0.12251655629139073
6,retweet,anticipation,94,302,0.31125827814569534
6,retweet,disgust,8,302,0.026490066225165563
6,retweet,joy,33,302,0.10927152317880795
6,retweet,neutral,50,302,0.16556291390728478
6,retweet,sadness,61,302,0.20198675496688742
6,retweet,trust,17,302,0.056291390728476824
6,retweet,unknown,2,302,0.006622516556291391
