motive_family,display_label,unique_tweets,label_assignments,source_fractional_count,retweet_fractional_count,source_share,retweet_share,percentage_point_change,log2_multiplier,amplification_multiplier,log2_ci_low,log2_ci_high,percentage_point_ci_low,percentage_point_ci_high,permutation_p,eligible_main,global_js_observed,global_permutation_p,fdr_q
22,Dependence on perpetrator,13,13,6.866666666666666,241.08333333333334,0.00833333333333333,0.04553037456720177,0.03719704123386844,2.449863733795827,5.463644947528577,-3.1572586609776256,3.9135295425414056,-0.0067636653333927885,0.12010879015542016,,False,0.2574180968012717,0.013498650134986502,
10,Gaslighting or self-doubt,44,44,28.833333333333332,460.8333333333333,0.034991909385113255,0.08703179099779668,0.05203988161268342,1.3145210957642126,2.487197541536152,-1.900871940837459,2.5529142887665532,-0.026185931699630058,0.17366060384080242,0.19708029197080293,True,0.2574180968012717,0.013498650134986502,0.36489684364896846
15,Invisible violence or lack of evidence,56,56,37.08333333333333,570.3333333333333,0.04500404530744335,0.10771167768334908,0.06270763237590574,1.2590480769205106,2.393377682964446,0.012652373048226015,2.027710088958365,0.00037447816633861316,0.14196414770817148,0.051894810518948106,True,0.2574180968012717,0.013498650134986502,0.36489684364896846
2,Distrust in institutions,48,48,34.5,430.0,0.04186893203883494,0.08120868744098207,0.03933975540214713,0.9557539510981194,1.9395929985679718,-0.5556089222548829,1.8545486009162708,-0.012475695930691125,0.10678589213712657,0.1484851514848515,True,0.2574180968012717,0.013498650134986502,0.36489684364896846
20,Belief perpetrator would change,4,4,1.95,23.900000000000002,0.0023665048543689312,0.004513692162417376,0.002147187308048445,0.931550147132016,1.9073242774791201,-28.176636616220254,3.902847467536375,-0.003916112353196635,0.012025421110610647,,False,0.2574180968012717,0.013498650134986502,
4,Experience treated as normal,23,23,16.666666666666664,178.16666666666666,0.02022653721682847,0.03364809568775575,0.01342155847092728,0.7342755062208354,1.6635618507698384,-1.6893802984306918,1.8450853626077997,-0.012750163886512804,0.052522262397301726,,False,0.2574180968012717,0.013498650134986502,
19,Family protection,54,54,31.53333333333333,261.8333333333333,0.03826860841423947,0.04944916587976079,0.011180557465521317,0.3697847451371598,1.292160021712965,-0.7052564107938235,1.111743763200445,-0.014780077873513993,0.04311444372195526,0.6137386261373863,True,0.2574180968012717,0.013498650134986502,0.8592340765923409
18,Perpetrator was family,36,36,20.03333333333333,142.5,0.024312297734627824,0.02691218130311615,0.0025998835684883266,0.14657308224722465,1.106936974726103,-1.8760890159188977,1.155724769188594,-0.017494907702536647,0.02779481277907065,0.9071092890710929,True,0.2574180968012717,0.013498650134986502,0.9495050494950507
9,Escaped or defended oneself,56,56,40.583333333333336,273.8333333333333,0.049251618122977334,0.05171545483160214,0.0024638367086248086,0.07042436116985677,1.0500254976886807,-1.3087728993746075,1.062182140336671,-0.029478806687152116,0.05250409004260014,0.9164083591640836,True,0.2574180968012717,0.013498650134986502,0.9495050494950507
6,Fear,156,156,112.51666666666664,707.8166666666667,0.13654935275080898,0.1336764242996538,-0.0028729284511551934,-0.030677427199456517,0.9789605121279703,-0.8886322681304081,0.6660578913832288,-0.05956666033317109,0.07767898237627112,0.9423057694230577,True,0.2574180968012717,0.013498650134986502,0.9495050494950507
11,Shame or embarrassment,78,78,43.36666666666668,271.65,0.05262944983818771,0.051303116147308786,-0.0013263336908789225,-0.03682385602108697,0.9747986404013036,-0.7927665365433847,0.5987428645799096,-0.02272146656082599,0.026663259979117473,0.9495050494950505,True,0.2574180968012717,0.013498650134986502,0.9495050494950507
5,Lack of knowledge about violence,266,266,197.31666666666675,977.5833333333335,0.2394619741100324,0.18462385898646527,-0.05483811512356712,-0.3752075733562305,0.7709944748967112,-1.0838037319046196,0.1502964310678713,-0.12504605598383192,0.027475871447798818,0.18858114188581143,True,0.2574180968012717,0.013498650134986502,0.36489684364896846
