comparison,n,observed_agreement,cohen_kappa,coverage_note
Gemma 4 31B vs GPT-5.4,1210,0.6685950413223141,0.5362256504368106,all phases
Gemma primary vs partial repeat,514,0.8715953307392996,0.8134249965626289,phase 1 and early phase 2 only
