phase_id,phase_label,original_coding_units,first_person_raw,first_person_x_excluded,first_person_adjudicated,start_utc,end_utc,duration_hours,raw_share,x_excluded_share,adjudicated_share,adjudicated_wilson_low,adjudicated_wilson_high
1,phase_1,114,45,45,45,2021-12-25 15:00:00+00:00,2021-12-26 06:00:00+00:00,15,0.39473684210526316,0.39473684210526316,0.39473684210526316,0.3098480436290092,0.486488733875709
2,phase_2,3321,1010,983,1002,2021-12-26 06:00:00+00:00,2021-12-28 00:00:00+00:00,42,0.30412526347485697,0.29599518217404397,0.3017163504968383,0.28634156615195744,0.31754933800419843
3,phase_3,665,146,145,145,2021-12-28 00:00:00+00:00,2021-12-30 18:00:00+00:00,66,0.21954887218045113,0.21804511278195488,0.21804511278195488,0.18832887963762843,0.25100025300005435
4,phase_4,146,15,15,15,2021-12-30 18:00:00+00:00,2022-01-07 15:00:00+00:00,189,0.10273972602739725,0.10273972602739725,0.10273972602739725,0.06325439180443915,0.16259477157876018
5,phase_5,67,1,1,1,2022-01-07 15:00:00+00:00,2022-01-08 21:00:00+00:00,30,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.002639503757676784,0.0798205197313466
6,phase_6,72,2,2,2,2022-01-08 21:00:00+00:00,2022-01-13 06:00:00+00:00,105,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.007650861466140468,0.09574358168906721
