post_type,bin_start_utc,emotion_group,n,bin_total,percent
retweet,2022-01-11 21:00:00+00:00,Other,5,5,100.0
retweet,2022-01-12 00:00:00+00:00,anger,1,1,100.0
retweet,2022-01-12 03:00:00+00:00,sadness,1,1,100.0
retweet,2022-01-12 06:00:00+00:00,Other,2,2,100.0
retweet,2022-01-12 09:00:00+00:00,sadness,2,2,100.0
retweet,2022-01-12 12:00:00+00:00,Other,3,19,15.789473684210526
retweet,2022-01-12 12:00:00+00:00,anger,6,19,31.57894736842105
retweet,2022-01-12 12:00:00+00:00,disgust,1,19,5.2631578947368425
retweet,2022-01-12 12:00:00+00:00,sadness,9,19,47.36842105263158
retweet,2022-01-12 15:00:00+00:00,Other,3,14,21.428571428571427
retweet,2022-01-12 15:00:00+00:00,anger,9,14,64.28571428571429
retweet,2022-01-12 15:00:00+00:00,sadness,2,14,14.285714285714286
retweet,2022-01-12 18:00:00+00:00,Other,1,15,6.666666666666667
retweet,2022-01-12 18:00:00+00:00,anger,5,15,33.333333333333336
retweet,2022-01-12 18:00:00+00:00,disgust,2,15,13.333333333333334
retweet,2022-01-12 18:00:00+00:00,sadness,7,15,46.666666666666664
retweet,2022-01-12 21:00:00+00:00,Other,1,9,11.11111111111111
retweet,2022-01-12 21:00:00+00:00,anger,2,9,22.22222222222222
retweet,2022-01-12 21:00:00+00:00,disgust,1,9,11.11111111111111
retweet,2022-01-12 21:00:00+00:00,sadness,5,9,55.55555555555556
retweet,2022-01-13 00:00:00+00:00,sadness,7,7,100.0
retweet,2022-01-13 03:00:00+00:00,sadness,4,4,100.0
